location_id,location_name,year_id,indicator_name,measure,val,lower,upper
6,China,1990,UHC effective coverage index,Index value (0 to 100),49.8103,46.5853,53.2054
6,China,2010,UHC effective coverage index,Index value (0 to 100),63.0442,59.8893,66.0368
6,China,2019,UHC effective coverage index,Index value (0 to 100),69.7123,64.0949,74.9464
7,Democratic People's Republic of Korea,1990,UHC effective coverage index,Index value (0 to 100),46.5784,42.9363,50.4699
7,Democratic People's Republic of Korea,2010,UHC effective coverage index,Index value (0 to 100),49.8279,47.3351,52.9611
7,Democratic People's Republic of Korea,2019,UHC effective coverage index,Index value (0 to 100),52.8378,49.5408,56.1322
8,Taiwan (Province of China),1990,UHC effective coverage index,Index value (0 to 100),62.7343,60.7652,64.5975
8,Taiwan (Province of China),2010,UHC effective coverage index,Index value (0 to 100),77.3298,75.6925,78.8828
8,Taiwan (Province of China),2019,UHC effective coverage index,Index value (0 to 100),79.0812,74.6514,82.684
10,Cambodia,1990,UHC effective coverage index,Index value (0 to 100),30.0896,26.5406,33.6152
10,Cambodia,2010,UHC effective coverage index,Index value (0 to 100),50.0023,46.9379,53.2442
10,Cambodia,2019,UHC effective coverage index,Index value (0 to 100),57.0794,53.7183,61.065
11,Indonesia,1990,UHC effective coverage index,Index value (0 to 100),38.6689,35.3588,41.9156
11,Indonesia,2010,UHC effective coverage index,Index value (0 to 100),47.3465,43.882,50.9639
11,Indonesia,2019,UHC effective coverage index,Index value (0 to 100),48.7277,42.2154,54.9371
12,Lao People's Democratic Republic,1990,UHC effective coverage index,Index value (0 to 100),15.4171,11.4338,19.3513
12,Lao People's Democratic Republic,2010,UHC effective coverage index,Index value (0 to 100),34.4509,29.1818,40.3023
12,Lao People's Democratic Republic,2019,UHC effective coverage index,Index value (0 to 100),43.8545,38.2633,49.202
13,Malaysia,1990,UHC effective coverage index,Index value (0 to 100),51.2585,49.3746,53.0288
13,Malaysia,2010,UHC effective coverage index,Index value (0 to 100),62.1423,60.2692,63.8445
13,Malaysia,2019,UHC effective coverage index,Index value (0 to 100),66.5736,62.3093,70.7374
14,Maldives,1990,UHC effective coverage index,Index value (0 to 100),36.7692,33.7404,40.2339
14,Maldives,2010,UHC effective coverage index,Index value (0 to 100),63.2666,61.3815,65.0895
14,Maldives,2019,UHC effective coverage index,Index value (0 to 100),66.8566,64.0183,69.9252
15,Myanmar,1990,UHC effective coverage index,Index value (0 to 100),28.1612,23.6059,33.3416
15,Myanmar,2010,UHC effective coverage index,Index value (0 to 100),39.0903,35.5294,42.4643
15,Myanmar,2019,UHC effective coverage index,Index value (0 to 100),46.9541,42.9259,50.9089
16,Philippines,1990,UHC effective coverage index,Index value (0 to 100),59.7964,56.2169,62.9149
16,Philippines,2010,UHC effective coverage index,Index value (0 to 100),49.1782,45.9311,52.2549
16,Philippines,2019,UHC effective coverage index,Index value (0 to 100),54.7117,48.486,60.5443
17,Sri Lanka,1990,UHC effective coverage index,Index value (0 to 100),53.1227,50.4423,55.9928
17,Sri Lanka,2010,UHC effective coverage index,Index value (0 to 100),57.0963,55.0323,59.0045
17,Sri Lanka,2019,UHC effective coverage index,Index value (0 to 100),65.5627,59.7268,71.238
18,Thailand,1990,UHC effective coverage index,Index value (0 to 100),57.604,55.2142,59.9362
18,Thailand,2010,UHC effective coverage index,Index value (0 to 100),65.4441,62.8155,67.9734
18,Thailand,2019,UHC effective coverage index,Index value (0 to 100),71.6003,66.2487,76.5824
19,Timor-Leste,1990,UHC effective coverage index,Index value (0 to 100),30.6435,26.2536,36.2367
19,Timor-Leste,2010,UHC effective coverage index,Index value (0 to 100),45.5803,40.5529,53.1308
19,Timor-Leste,2019,UHC effective coverage index,Index value (0 to 100),45.9543,41.056,51.5819
20,Viet Nam,1990,UHC effective coverage index,Index value (0 to 100),47.3411,43.198,51.5816
20,Viet Nam,2010,UHC effective coverage index,Index value (0 to 100),56.6792,54.7702,58.4931
20,Viet Nam,2019,UHC effective coverage index,Index value (0 to 100),59.7068,56.73,63.0244
22,Fiji,1990,UHC effective coverage index,Index value (0 to 100),44.3541,41.1725,47.6376
22,Fiji,2010,UHC effective coverage index,Index value (0 to 100),42.4141,40.6925,44.3084
22,Fiji,2019,UHC effective coverage index,Index value (0 to 100),45.1761,40.3878,49.9273
23,Kiribati,1990,UHC effective coverage index,Index value (0 to 100),25.931,23.3828,28.7616
23,Kiribati,2010,UHC effective coverage index,Index value (0 to 100),32.0661,29.5578,35.1625
23,Kiribati,2019,UHC effective coverage index,Index value (0 to 100),35.7356,32.0755,39.7941
24,Marshall Islands,1990,UHC effective coverage index,Index value (0 to 100),38.7459,36.3914,41.4182
24,Marshall Islands,2010,UHC effective coverage index,Index value (0 to 100),42.1253,38.9127,45.8758
24,Marshall Islands,2019,UHC effective coverage index,Index value (0 to 100),44.0043,39.0759,49.516
25,Micronesia (Federated States of),1990,UHC effective coverage index,Index value (0 to 100),34.0272,30.186,38.3169
25,Micronesia (Federated States of),2010,UHC effective coverage index,Index value (0 to 100),37.9546,34.9046,41.8129
